tweet_id,text,task1,task2,ID
1127755185944711170,"1 आदमीं को मारने पर गोडसे आतंकी हो सके है तो
17000 सिखो, 5000 भोपाली, 3000 तमिलों का कत्लेआम करवाने वाला भारत रत्न कैसे हो सके है?",HOF,HATE,hasoc_2020_hi_2250
1123578938406592513,"RT @Vishesh4: @jawaharyadavbjp जवाहर यादव, अगर हिम्मत है तो पूरा वीडियो डालो फिर तुम्हारे झूठ सामने आएंगे।
दीपेंदर ने साफ कहा, कि भाजपा और…",NOT,NONE,hasoc_2020_hi_381
1127750010156642304,"RT @FunKeyBaat: #भगवा वस्त्र पहन कर मतदान नही कर सकते लेकिन बुरखा पहन के कर सकते हैं @yadavakhilesh ?

ये आज़मगढ़ है और यहाँ से ""टोटी चोर""…",HOF,HATE,hasoc_2020_hi_1510
1127660759553597441,Yey nina khothani labafazi benu phambili Finish and klaar 🍑🌊,HOF,PRFN,hasoc_2020_hi_1010
1123487255136489472,RT @Rajeshbhanjan2: जब भी कोई सिकुलर कोंग्रेसी गुलाम चाटुकार चरणचाट चमचा 'गाय' और 'बछड़े' को लेकर भाजपा पर तंज कसता हुआ दिखे तो इतिहास के झ…,HOF,HATE,hasoc_2020_hi_331
1127496128922939392,RT @AkalLess: काश ऐसा क़ानून अगर हमारे यहाँ होता तो पूरी @AamAadmiParty सर @ArvindKejriwal के साथ तिहाड़ जेल में निर्विरोध चुनाव लड़ रही हो…,HOF,OFFN,hasoc_2020_hi_1719
1123622798251806721,"RT @Aaliya11_: मुस्लिम_ईसाईयों की जबरन
  नसबंदी कर देनी चाहिए
      साध्वी ठाकुर
 
मैडम जब अपनी जमीन 
  बंजर हो तो दूसरों 
की खड़ी फसल देखक…",HOF,HATE,hasoc_2020_hi_3047
1127761942968332288,"RT @neel23456: @TVMohandasPai मौन सिह- अरे ओ पचौरी तूने
कांग्रेस का नमक खाया है
पचौरी- बराबर बोले सरदार
मौन सिंह- नमक का हक अदा करने
का समय…",HOF,OFFN,hasoc_2020_hi_3530
1127471315449810944,"@ECISVEEP 
उंगली में दाग अच्छे हैं। https://t.co/lRj1CYiHsY",NOT,NONE,hasoc_2020_hi_62
1127524469847642117,"RT @BJP4India: आज जब मैं सिरमौर आया हूं तब 300 से ज्यादा लोकसभा क्षेत्रों का दौरा करके यहां आया हूं।

मैं हर प्रदेश में गया, वहां पहनावा बद…",NOT,NONE,hasoc_2020_hi_2628
